STRIP NO,STHK,SWID,SLEN,SWET,PTHK,PWID,PLEN,PWET,,,,,,,
1,2,3,4,5,6,7,8,10,,,,,,,
,,,,,,,,,,,,,,,
VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7,VAR8,VAR9,VAR10,VAR11,VAR12,VAR13,VAR14,VAR15,VAR16
11,22,33,44,55,66,77,88,99,111,222,333,444,555,666,777
,,,,,,,,,,,,,,,
STAND,F1,F2,F3,F4,F5,F6,F7,,,,,,,,
BUR TDIA,1,25,49,73,97,121,145,,,,,,,,
BUR BDIA,2,26,50,74,98,122,146,,,,,,,,
WR TDIA,3,27,51,75,99,123,147,,,,,,,,
WR BDIA,4,28,52,76,100,124,148,,,,,,,,
WR ICRN,5,29,53,77,101,125,149,,,,,,,,
ENTRY THK,6,30,54,78,102,126,150,,,,,,,,
EXIT THK,7,31,55,79,103,127,151,,,,,,,,
PAS LINE,8,32,56,80,104,128,152,,,,,,,,
ROL GAP,9,33,57,81,105,129,153,,,,,,,,
STP WID,10,34,58,82,106,130,154,,,,,,,,
STP LEN,11,35,59,83,107,131,155,,,,,,,,
ENTRY TEMP,12,36,60,84,108,132,156,,,,,,,,
EXIT TEMP,13,37,61,85,109,133,157,,,,,,,,
FRCE,14,38,62,86,110,134,158,,,,,,,,
TORQ,15,39,63,87,111,135,159,,,,,,,,
SPEED(mpm),16,40,64,88,112,136,160,,,,,,,,
BEND,17,41,65,89,113,137,161,,,,,,,,
P-CROSS,18,42,66,90,114,138,162,,,,,,,,
TENS,19,43,67,91,115,139,163,,,,,,,,
ROL TIM,20,44,68,92,116,140,164,,,,,,,,
IDL TIM,21,45,69,93,117,141,165,,,,,,,,
BUR WEAR,22,46,70,94,118,142,166,,,,,,,,
WR WEAR,23,47,71,95,119,143,167,,,,,,,,
WR THRM,24,48,72,96,120,144,168,,,,,,,,
